label,group,pair_name,run_relpath,run_id,variant,is_hint,segment_policy_accuracy,avg_exit_depth,segment_flip_any_rate,segment_exit_consistency,full_clip_accuracy,full_segment_accuracy_over_processed_windows,full_segment_accuracy_over_used_windows,full_policy_test_accuracy,full_avg_windows_used,full_avg_windows_total,full_avg_compute_units,full_windows_saved_pct,full_compute_saved_pct,full_avg_depth_per_used_window,full_flip_rate_over_used_windows,full_exit_consistency,time_clip_accuracy,time_segment_accuracy_over_processed_windows,time_segment_accuracy_over_used_windows,time_policy_test_accuracy,time_avg_windows_used,time_avg_windows_total,time_avg_compute_units,time_windows_saved_pct,time_compute_saved_pct,time_avg_depth_per_used_window,time_flip_rate_over_used_windows,time_exit_consistency,expected_mflops,full_mflops,compute_saving_pct_profile,full_forward_latency_ms,x_value
3-exit greedy,progression,,runs/kexit_dev/kexit_dev_001,kexit_dev_001,kexit_dev,False,0.9753846153846154,1.9815384615384615,0.17846153846153845,1.0,1.0,0.9753846153846154,0.9753846153846154,0.9753846153846154,14.772727272727273,14.772727272727273,29.272727272727273,0.0,0.0,1.9815384615384615,0.17846153846153845,1.0,1.0,,0.9777777777777777,0.9777777777777777,2.0454545454545454,14.772727272727273,5.363636363636363,86.15384615384616,81.67701863354037,2.6222222222222222,0.4,1.0,23.861081796923074,51.628288,53.78293040256714,6.397054996341467,2.0454545454545454
5-exit greedy,progression,,runs/kexit_dev/kexit_dev_002,kexit_dev_002,kexit_dev,False,0.9846153846153847,2.4492307692307693,0.22153846153846155,0.9969230769230769,1.0,0.9846153846153847,0.9846153846153847,0.9846153846153847,14.772727272727273,14.772727272727273,36.18181818181818,0.0,0.0,2.449230769230769,0.22153846153846155,0.9969230769230769,1.0,,0.9696969696969697,0.9696969696969697,3.0,14.772727272727273,9.727272727272727,79.6923076923077,73.11557788944724,3.242424242424242,0.3939393939393939,0.9848484848484849,16.18767094153846,51.628288,68.64573363048865,7.703609997406602,3.0
5-exit greedy no-hint,progression,,runs/kexit_greedy_no_hint/kexit_greedy_no_hint_001,kexit_greedy_no_hint_001,kexit_greedy_no_hint,True,0.9846153846153847,2.4492307692307693,0.22153846153846155,0.9969230769230769,1.0,0.9846153846153847,0.9846153846153847,0.9846153846153847,14.772727272727273,14.772727272727273,36.18181818181818,0.0,0.0,2.449230769230769,0.22153846153846155,0.9969230769230769,1.0,,0.9777777777777777,0.9777777777777777,2.0454545454545454,14.772727272727273,7.045454545454546,86.15384615384616,80.52763819095478,3.4444444444444446,0.4222222222222222,1.0,16.18767094153846,51.628288,68.64573363048865,,2.0454545454545454
