timestamp,variant,segment_sec,hop_sec,device,cache_dir,runs_root,run_id,total_seconds,total_minutes,,,
2026-01-17T15:02:43.0135797+00:00,v0.3,ea,True,0.08,1,0.5,cpu,data_caches\v0_3\seg1_hop0p5_bp100-3000_mels64,runs,v0_3_005,348.62,5.81
2026-01-17T15:28:13.8550709+00:00,v0.3,ea,True,0.08,1,0.5,cpu,data_caches\v0_3\seg1_hop0p5_bp100-3000_mels64,runs,v0_3_006,325.5,5.42
2026-01-17T16:55:21.2492696+00:00,v0.3,ea,True,0.08,1,0.5,cpu,data_caches\v0_3\seg1_hop0p5_bp100-3000_mels64,runs,v0_3_007,325.19,5.42
2026-01-17T17:16:01.9908197+00:00,v0.3,ea,True,0.08,1,0.5,cpu,data_caches\v0_3\seg1_hop0p5_bp100-3000_mels64,runs,v0_3_008,321.37,5.36
2026-01-17T19:33:30.5489763+00:00,v0.3,ea,True,0.08,1,0.5,cpu,data_caches\v0_3\seg1_hop0p5_bp100-3000_mels64,runs,v0_3_009,427.77,7.13
2026-01-17T20:50:24.5219430+00:00,v0.3,ea,True,0.08,1,0.5,cpu,data_caches\v0_3\seg1_hop0p5_bp100-3000_mels64,runs,v0_3_010,435.68,7.26
2026-01-17T21:03:51.9897882+00:00,v0.3,ea,True,0.08,1,0.5,cpu,data_caches\v0_3\seg1_hop0p5_bp100-3000_mels64,runs,v0_3_011,324.77,5.41
2026-01-17T21:23:30.4163335+00:00,v0.3,ea,True,0.08,1,0.5,cpu,data_caches\v0_3\seg1_hop0p5_bp100-3000_mels64,runs,v0_3_012,429.9,7.16
2026-01-17T22:34:02.4194265+00:00,v0.3,ea,True,0.08,1,0.5,cpu,data_caches\v0_3\seg1_hop0p5_bp100-3000_mels64,runs,v0_3_013,336.49,5.61
2026-01-17T22:48:32.0045232+00:00,v0.3,ea,True,0.08,1,0.5,cpu,data_caches\v0_3\seg1_hop0p5_bp100-3000_mels64,runs,v0_3_014,448.97,7.48
2026-01-17T22:58:43.8679984+00:00,v0.3,ea,True,0.08,1,0.5,cpu,data_caches\v0_3\seg1_hop0p5_bp100-3000_mels64,runs,v0_3_015,353.33,5.89
2026-01-17T23:13:37.3198374+00:00,v0.3,ea,True,0.08,1,0.5,cpu,data_caches\v0_3\seg1_hop0p5_bp100-3000_mels64,runs,v0_3_016,449.01,7.48
2026-01-17T23:35:40.0995700+00:00,v0.3,ea,True,0.08,1,0.5,cpu,data_caches\v0_3\seg1_hop0p5_bp100-3000_mels64,runs,v0_3_017,367.41,6.12
2026-01-18T22:28:23.7663489+00:00,v0.3,ea,True,0.08,1,0.5,cpu,data_caches\v0_3\seg1_hop0p5_bp100-3000_mels64,runs,v0_3_018,349.74,5.83
2026-01-18T22:41:48.4769485+00:00,v0.3,ea,True,0.08,1,0.5,cpu,data_caches\v0_3\seg1_hop0p5_bp100-3000_mels64,runs,v0_3_019,320.34,5.34
2026-01-18T22:52:31.2520267+00:00,v0.3,ea,True,0.08,1,0.5,cpu,data_caches\v0_3\seg1_hop0p5_bp100-3000_mels64,runs,v0_3_020,325.8,5.43
2026-01-19T12:35:50.1260355+00:00,v0.3,ea,True,0.08,1,0.5,cpu,data_caches\v0_3\seg1_hop0p5_bp100-3000_mels64,runs,v0_3_021,357.12,5.95
2026-01-19T13:56:24.7537273+00:00,v0.3,ea,True,0.08,1,0.5,cpu,data_caches\v0_3\seg1_hop0p5_bp100-3000_mels64,runs,v0_3_022,346.46,5.77
2026-03-11T18:28:02.5444142+00:00,v0.5,ea,True,0.08,1,0.5,cpu,data_caches\v0_5\seg1_hop0p5_bp100-3000_mels64,v0_5_002,390,6.5,1,2,3,4,64,1
2026-03-18T19:22:29.9669558+00:00,v0.5_hint,ea,True,0.02,1,0.5,cpu,data_caches\v0_5_hint\seg1_hop0p5_bp100-3000_mels64,v0_5_hint_002,375.37,6.26,1,2,3,4,64,1
2026-03-23T12:53:22.9103065+00:00,v0.5_hint,ea,True,0.02,1,0.5,cpu,data_caches\v0_5_hint\seg1_hop0p5_bp100-3000_mels64,v0_5_hint_003,389.33,6.49,1,2,3,4,64,1
2026-03-23T18:38:17.7347877+00:00,v0.5_hint,ea,True,0.02,1,0.5,cpu,data_caches\v0_5_hint\seg1_hop0p5_bp100-3000_mels64,v0_5_hint_004,389.87,6.5,1,2,3,4,64,1
2026-03-23T18:59:21.4341526+00:00,v0.5_hint,ea,True,0.02,1,0.5,cpu,data_caches\v0_5_hint\seg1_hop0p5_bp100-3000_mels64,v0_5_hint_005,375.97,6.27,1,2,3,4,64,1
2026-03-23T19:14:59.1925130+00:00,v0.5_hint,ea,True,0.02,1,0.5,cpu,data_caches\v0_5_hint\seg1_hop0p5_bp100-3000_mels64,v0_5_hint_006,377.14,6.29,1,2,3,4,64,1
2026-03-23T19:28:22.4254998+00:00,v0.5_hint,ea,True,0.02,1,0.5,cpu,data_caches\v0_5_hint\seg1_hop0p5_bp100-3000_mels64,v0_5_hint_007,377.86,6.3,1,2,3,4,64,1
2026-03-24T06:00:06.7040716+00:00,v0.5_hint,ea,True,0.02,1,0.5,cpu,data_caches\v0_5_hint\seg1_hop0p5_bp100-3000_mels64,v0_5_hint_008,388.98,6.48,1,2,3,4,64,1
2026-03-28T18:18:47.8522769+00:00,v0.1,1,0.5,cpu,data_caches\v0_1\seg1_hop0p5_bp100-3000_mels64,runs,v0_1_005,199.53,3.33
2026-03-28T19:53:03.5008203+00:00,v0.1,greedy,1,0.5,cpu,data_caches\v0_1\seg1_hop0p5_bp100-3000_mels64,runs,v0_1_007,172.32,2.87
2026-04-05T18:39:51.2385088+01:00,kexit_dev,greedy,1,0.5,cpu,data_caches\kexit_dev\seg1_hop0p5_bp100-3000_mels64_tap1-3,runs,kexit_dev_001,181.52,3.03,True
2026-04-06T14:21:37.9937693+01:00,kexit_dev,greedy,1,0.5,cpu,data_caches\kexit_dev\seg1_hop0p5_bp100-3000_mels64_tap1-3,runs,kexit_dev_001,193.32,3.22,True
2026-04-06T14:27:34.5847265+01:00,kexit_dev,greedy,1,0.5,cpu,data_caches\kexit_dev\seg1_hop0p5_bp100-3000_mels64_tap1-2-3-4,runs,kexit_dev_002,218.98,3.65,True
2026-04-07T18:59:30.9468749+01:00,kexit_greedy_no_hint,greedy,1,0.5,cpu,data_caches\kexit_greedy_no_hint\seg1_hop0p5_bp100-3000_mels64_tap1-2-3-4,runs,kexit_greedy_no_hint_001,219.89,3.66,True
2026-04-07T19:26:00.8922201+01:00,kexit_greedy_no_hint,greedy,1,0.5,cpu,data_caches\kexit_greedy_no_hint\seg1_hop0p5_bp100-3000_mels64_tap1-2-3-4,runs,kexit_greedy_no_hint_001,190.73,3.18,True
2026-04-07T19:58:53.4749309+01:00,kexit_greedy_no_hint,greedy,1,0.5,cpu,data_caches\kexit_greedy_no_hint\seg1_hop0p5_bp100-3000_mels64_tap1-2-3-4,runs,kexit_greedy_no_hint_001,190.35,3.17,True
2026-04-07T21:35:18.2606680+01:00,kexit_greedy_no_hint,greedy,1,0.5,cpu,data_caches\kexit_greedy_no_hint\seg1_hop0p5_bp100-3000_mels64_tap1-2-3-4,runs,kexit_greedy_no_hint_002,190.42,3.17,True
2026-04-07T21:41:26.6916212+01:00,kexit_greedy_hint,greedy,1,0.5,cpu,data_caches\kexit_greedy_hint\seg1_hop0p5_bp100-3000_mels64_tap1-2-3-4,runs,kexit_greedy_hint_001,195.35,3.26,True
