seed,label,aggregation,threshold,cal_precision,cal_recall,cal_f1,cal_tp,cal_fp,cal_fn,cal_tn,cal_support,cal_predicted_positive,cal_hamming_errors
11,Brene_Brown,p90,0.54,0.9743589743589743,1.0,0.9870129870129869,38,1,0,395,38,39,1
11,Eckhart_Tolle,top3mean,0.5,1.0,1.0,1.0,39,0,0,395,39,39,0
11,Eric_Thomas,p75,0.85,0.9428571428571428,0.9705882352941176,0.9565217391304348,33,2,1,398,34,35,3
11,Gary_Vee,top2mean,0.5,1.0,1.0,1.0,39,0,0,395,39,39,0
11,Jay_Shetty,top2mean,0.87,0.9803921568627451,1.0,0.99009900990099,50,1,0,383,50,51,1
11,Nick_Vujicic,top3mean,0.54,1.0,1.0,1.0,19,0,0,415,19,19,0
11,other_speaker_present,top3mean,0.78,0.9366515837104072,0.9366515837104072,0.9366515837104072,207,14,14,199,221,221,28
11,music_present,mean,0.31,0.9597701149425287,0.943502824858757,0.9515669515669515,167,7,10,250,177,174,17
11,audience_reaction_present,p75,0.43,0.75,0.5454545454545454,0.631578947368421,6,2,5,421,11,8,7
11,silence_present,top2mean,0.3,0.17647058823529413,0.6,0.2727272727272727,3,14,2,415,5,17,16
12,Brene_Brown,max,0.66,0.975,1.0,0.9873417721518987,39,1,0,394,39,40,1
12,Eckhart_Tolle,top3mean,0.5,1.0,1.0,1.0,40,0,0,394,40,40,0
12,Eric_Thomas,mean,0.62,0.9629629629629629,0.896551724137931,0.9285714285714286,26,1,3,404,29,27,4
12,Gary_Vee,top2mean,0.5,1.0,1.0,1.0,34,0,0,400,34,34,0
12,Jay_Shetty,top2mean,0.87,0.9629629629629629,1.0,0.9811320754716981,52,2,0,380,52,54,2
12,Nick_Vujicic,mean,0.49,1.0,0.9655172413793104,0.9824561403508771,28,0,1,405,29,28,1
12,other_speaker_present,top3mean,0.78,0.8956521739130435,0.9321266968325792,0.9135254988913527,206,24,15,189,221,230,39
12,music_present,p75,0.24,0.9642857142857143,0.9152542372881356,0.9391304347826087,162,6,15,251,177,168,21
12,audience_reaction_present,mean,0.18,0.44,0.7857142857142857,0.5641025641025641,11,14,3,406,14,25,17
12,silence_present,top2mean,0.5,1.0,0.375,0.5454545454545454,3,0,5,426,8,3,5
