candidate_id,exit2_fraction,average_exit_depth,estimated_flops_saved_pct,parent_macro_f1,parent_micro_f1,parent_exact_match,parent_hamming_loss,macro_f1_drop,micro_f1_drop,exact_match_drop,hamming_loss_increase,fold_macro_drop_upper,fold_micro_drop_upper,fold_exact_drop_upper,fold_hamming_increase_upper,quality_constraints_met,mean_confidence_threshold,max_probability_delta,margin_Brene_Brown,margin_Eckhart_Tolle,margin_Eric_Thomas,margin_Gary_Vee,margin_Jay_Shetty,margin_Nick_Vujicic,margin_other_speaker_present,margin_music_present,margin_audience_reaction_present,margin_silence_present
4014,0.1964949548592671,2.803505045140733,12.62723929210975,0.9022277390120096,0.8891235480464625,0.7138157894736842,0.0345394736842105,0.0003892875568688,0.0009398769006833,0.0,0.000328947368421,0.0015756813938577,0.0037851235720916,0.0085277815589786,0.0013368895739742,True,0.6786029296872002,0.937177682149322,0.0048441785139481,0.0030974064822138,0.0241521593965337,0.2401666567647067,0.0259984098646418,0.1812310663155973,0.1150680832803413,0.0059476362116239,0.1225395061066352,0.0095520242699446
3973,0.1964949548592671,2.803505045140733,12.62723929210975,0.901842194604726,0.8881856540084389,0.7105263157894737,0.0348684210526315,0.0007748319641524,0.001877770938707,0.0032894736842105,0.0006578947368421,0.0015519643874285,0.0037164468508356,0.0086721311475409,0.0013162968240784,True,0.686577678272619,0.9602039375070368,0.0085486550403597,0.0018025007791921,0.0124457036412839,0.2403516053719369,0.00737383068767,0.166963664312701,0.1165290173829761,0.0,0.1209138007708459,0.0172276749299841
3931,0.1895910780669145,2.8104089219330857,12.183579533197786,0.9014622423727268,0.8881856540084389,0.7105263157894737,0.0348684210526315,0.0011547841961517,0.001877770938707,0.0032894736842105,0.0006578947368421,0.0022678411300312,0.0036873705690093,0.0086721311475409,0.0013162968240784,True,0.6404978998988089,0.9102789781869642,0.0139621555137388,0.0066075614206086,0.0193953289600711,0.2162979882814073,0.0,0.1854832380370953,0.1613572569999777,0.0,0.1227269479169354,0.0
3526,0.1890600106213489,2.810939989378651,12.149451859435324,0.9022277390120096,0.8891235480464625,0.7138157894736842,0.0345394736842105,0.0003892875568688,0.0009398769006833,0.0,0.000328947368421,0.0009373200442968,0.0023412132987909,0.0,0.000867213114754,True,0.6404978998988089,0.9102789781869642,0.0139621555137388,0.0066075614206086,0.0193953289600711,0.2402929264143019,0.0237750408916516,0.1854832380370953,0.1613572569999777,0.0,0.1227269479169354,0.0
4050,0.1890600106213489,2.810939989378651,12.149451859435324,0.9022277390120096,0.8891235480464625,0.7138157894736842,0.0345394736842105,0.0003892875568688,0.0009398769006833,0.0,0.000328947368421,0.0009373200442968,0.0023412132987909,0.0,0.000867213114754,True,0.6453593223362991,0.9523866806967304,0.0,0.0072884539402713,0.0091634300743219,0.2402930888952715,0.0213281949262764,0.1856035320937165,0.1620053063078722,0.0,0.1229763944555533,0.01907512169294
3890,0.1890600106213489,2.810939989378651,12.149451859435324,0.9022277390120096,0.8891235480464625,0.7138157894736842,0.0345394736842105,0.0003892875568688,0.0009398769006833,0.0,0.000328947368421,0.0009373200442968,0.0023412132987909,0.0,0.000867213114754,True,0.6228310304029948,0.9102789781869642,0.0,0.0066075614206086,0.0074444215578361,0.2402929264143019,0.0237750408916516,0.1854832380370953,0.1613572569999777,0.0,0.1227269479169354,0.0235250614661183
3765,0.1890600106213489,2.810939989378651,12.149451859435324,0.9022277390120096,0.8891235480464625,0.7138157894736842,0.0345394736842105,0.0003892875568688,0.0009398769006833,0.0,0.000328947368421,0.0009373200442968,0.0023412132987909,0.0,0.000867213114754,True,0.6228310304029948,0.9102789781869642,0.0,0.0066075614206086,0.0193953289600711,0.2402929264143019,0.0237750408916516,0.1854832380370953,0.1613572569999777,0.0,0.1227269479169354,0.0235250614661183
3889,0.1890600106213489,2.810939989378651,12.149451859435324,0.9022277390120096,0.8891235480464625,0.7138157894736842,0.0345394736842105,0.0003892875568688,0.0009398769006833,0.0,0.000328947368421,0.0009373200442968,0.0023412132987909,0.0,0.000867213114754,True,0.7576433549478477,0.9570217171848272,0.0152718931439219,0.0039748901932541,0.0231093891384955,0.2403783731871774,0.0246913715166872,0.1634645123994376,0.1620263687529098,0.0,0.1176911723695965,0.0159313921735775
3788,0.1821561338289963,2.817843866171004,11.70579210052336,0.9026170265688784,0.8900634249471459,0.7138157894736842,0.0342105263157894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.8477932491500155,0.8737726227596851,0.0207806012410791,0.0064962791066216,0.0009300642089336,0.2398938495035393,0.0167585802890266,0.1771095034800895,0.1620409206213588,0.1875538857375177,0.113880007055922,0.0347810903320641
3695,0.1821561338289963,2.817843866171004,11.70579210052336,0.9026170265688784,0.8900634249471459,0.7138157894736842,0.0342105263157894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.7270104531908953,0.9809570556500185,0.0,0.0185383928013258,0.0,0.2405719277254526,0.0266911147444293,0.1811374543518777,0.1623139413653837,0.1988532504562005,0.1233983806193778,0.0
3886,0.1821561338289963,2.817843866171004,11.70579210052336,0.9026170265688784,0.8900634249471459,0.7138157894736842,0.0342105263157894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.7085124123526755,0.964407276117762,0.0148976584953998,0.0020736115413894,0.0,0.2401961983377527,0.0256034919825774,0.1766532179982304,0.1633891370714223,0.2028192334654986,0.1225943506428664,0.0133225292143964
3876,0.1821561338289963,2.817843866171004,11.70579210052336,0.9026170265688784,0.8900634249471459,0.7138157894736842,0.0342105263157894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.671744482962835,0.9628859531936828,0.0,0.0186276945067844,0.0002413360965581,0.2405829705066759,0.0265285740464295,0.171016652742307,0.1619970681563341,0.1988549029899574,0.1224175536194193,0.0225267854248886
3830,0.1821561338289963,2.817843866171004,11.70579210052336,0.9026170265688784,0.8900634249471459,0.7138157894736842,0.0342105263157894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.744136700404631,0.964407276117762,0.0148976584953998,0.0020736115413894,0.0,0.2401961983377527,0.0256034919825774,0.1766532179982304,0.1633891370714223,0.2028192334654986,0.1225943506428664,0.0133225292143964
3836,0.1821561338289963,2.817843866171004,11.70579210052336,0.9026170265688784,0.8900634249471459,0.7138157894736842,0.0342105263157894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.7270104531908953,0.9809570556500185,0.0,0.0185383928013258,0.0035332422503045,0.2405719277254526,0.0266911147444293,0.1811374543518777,0.1623139413653837,0.1988532504562005,0.1233983806193778,0.0
3990,0.1821561338289963,2.817843866171004,11.70579210052336,0.9026170265688784,0.8900634249471459,0.7138157894736842,0.0342105263157894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.5982701181970285,0.8853919645109933,0.0141383650982288,0.0280165821167155,0.0030609428984704,0.2400459003054624,0.0035818097994169,0.1699156838996747,0.1615066378040394,0.1862494400001528,0.1223938751941103,0.0236479641105454
3984,0.1821561338289963,2.817843866171004,11.70579210052336,0.9026170265688784,0.8900634249471459,0.7138157894736842,0.0342105263157894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.7157926795986035,1.0,0.0,0.0084480466197341,0.0,0.2406694569052478,0.0533296112091276,0.1713735382013225,0.1623139598898838,0.1967348630927757,0.1232408446639205,0.0206275247855486
4013,0.1821561338289963,2.817843866171004,11.70579210052336,0.9026170265688784,0.8900634249471459,0.7138157894736842,0.0342105263157894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.7221454366670352,0.954617997050118,0.0,0.0039526518167163,0.0002874722660219,0.240482961460843,0.0273103297475582,0.152675894695717,0.1624534374549025,0.1925271434757154,0.1225839582197378,0.006556654745958
4024,0.1821561338289963,2.817843866171004,11.70579210052336,0.9026170265688784,0.8900634249471459,0.7138157894736842,0.0342105263157894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.6963816108475736,0.9497868173954436,0.0148255604885981,0.006578537280034,0.0,0.2403645128345576,0.0,0.1223246182895073,0.1620871733984477,0.192967805747705,0.1223940730579781,0.0
4044,0.1821561338289963,2.817843866171004,11.70579210052336,0.9026170265688784,0.8900634249471459,0.7138157894736842,0.0342105263157894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.8477932491500155,0.8737726227596851,0.026816411544533,0.0064962791066216,0.0009300642089336,0.2398938495035393,0.0167585802890266,0.1771095034800895,0.1620409206213588,0.1875538857375177,0.113880007055922,0.0347810903320641
4071,0.1821561338289963,2.817843866171004,11.70579210052336,0.9026170265688784,0.8900634249471459,0.7138157894736842,0.0342105263157894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.671744482962835,0.9628859531936828,0.0291839771898555,0.0186276945067844,0.0002413360965581,0.2405829705066759,0.0265285740464295,0.171016652742307,0.1619970681563341,0.1988549029899574,0.1224175536194193,0.0225267854248886
