generation,unique_candidates,feasible_population,best_feasible_flops_saved_pct,minimum_constraint_violation
0,112,3,3.341287,0.0
5,672,76,13.258970,0.0
10,1232,112,15.920346,0.0
15,1792,112,17.132771,0.0
20,2352,112,17.991296,0.0
25,2912,112,18.465214,0.0
30,3472,112,18.833065,0.0
35,4032,112,19.115721,0.0
40,4592,112,19.282604,0.0
45,5152,112,19.451223,0.0
50,5712,112,19.585040,0.0
55,6272,112,19.692336,0.0
60,6832,112,19.792465,0.0
65,7392,112,19.879370,0.0
69,7840,112,19.879370,0.0
