generation,unique_candidates,feasible_population,best_feasible_flops_saved_pct,minimum_constraint_violation
0,112,1,2.354809,0.0
5,672,39,9.146217,0.0
10,1232,112,11.825239,0.0
15,1792,112,12.166516,0.0
20,2352,112,12.780814,0.0
25,2912,112,12.814941,0.0
30,3472,112,13.122091,0.0
35,4032,112,13.360984,0.0
40,4592,112,13.582814,0.0
45,5151,112,13.753453,0.0
50,5711,112,13.838772,0.0
55,6271,112,13.975282,0.0
60,6831,112,14.589581,0.0
65,7391,112,14.589581,0.0
69,7839,112,14.640772,0.0
