architecture,selection_status,validation_eligible,unique_candidates,pareto_candidates,validation_early_fraction,validation_flops_saved_pct,holdout_early_fraction,holdout_flops_saved_pct,holdout_speedup,holdout_constraints_met
3-exit,safety_buffered_pareto_knee,True,7951,9,0.175783,13.514559,0.056978,3.817202,1.017832,False
5-exit,safety_buffered_pareto_knee,True,7952,112,0.262347,19.879370,0.174164,12.704241,1.057318,False
