Metric,LATS-v1 mean,LATS-v1 std,LATS-v2 mean,LATS-v2 std,Mean difference
Macro-F1,0.8309357905135059,0.015426383879565256,0.8303803123362792,0.016968739673091652,-0.0005554781772266759
Micro-F1,0.9292889976124348,0.006665855458276788,0.9325850842438678,0.006457252242283394,0.003296086631432993
Samples-F1,0.9369185087429892,0.007325923917258986,0.9401633124381391,0.006605048117625743,0.0032448036951499004
Exact Match,0.8178983833718245,0.01815812735515218,0.8274826789838337,0.014665820897820413,0.00958429561200913
Hamming Loss ↓,0.020739030023094625,0.002056935842435401,0.019699769053117742,0.001959792522096047,-0.0010392609699768837
Avg pred labels,1.4606235565819863,0.03203140755325018,1.450230946882217,0.03188207412095411,-0.010392609699769295
Objective score,,,0.828280326210867,0.007498443145706121,
