Metric,LATS-v1,LATS-v2,Difference
Macro-F1,0.8667076472087315,0.8672555090173246,0.0005478618085931197
Micro-F1,0.9435897435897436,0.9457855164226356,0.0021957728328920734
Samples-F1,0.9495084308233096,0.9516998956445324,0.0021914648212227883
Exact Match,0.8523644752018454,0.8604382929642446,0.008073817762399127
Hamming Loss ↓,0.0164936562860438,0.0158016147635524,-0.0006920415224913982
Jaccard,0.927431757016532,0.9308919646289888,0.0034602076124568004
Avg true labels,1.469434832756632,1.469434832756632,0.0
Avg pred labels,1.4544405997693195,1.4452133794694348,-0.009227220299884653
Label-count abs error,0.014994232987312506,0.0242214532871971,0.009227220299884594
