architecture,method,exit1_fraction,exit2_fraction,exit3_fraction,exit4_fraction,exit5_fraction,average_exit_depth,estimated_flops_saved_pct
3-exit,full_sequential,0.0606689735,0.0433679354,0.8959630911,,,2.8352941176,8.6350296764
5-exit,full_sequential,0.0682814302,0.0122260669,0.1859284890,0.2629757785,0.4705882353,4.0553633218,30.7129809540
