pass,label,score,macro_f1,micro_f1,samples_f1,exact_match,hamming_loss,jaccard_score,avg_true_labels,avg_pred_labels,parent_clips,num_labels,aggregation,threshold
0,START,0.8517744491194079,0.863427099439326,0.9446876243533625,0.9535068929532596,0.8638985005767013,0.016032295271049598,0.9327181853133409,1.469434832756632,1.4290657439446366,867,10,,
1,Nick_Vujicic,0.851812642243331,0.8633619882076387,0.9446435682994823,0.9535837864557587,0.8650519031141869,0.016032295271049598,0.9330065359477123,1.469434832756632,1.4267589388696655,867,10,mean,0.3
1,other_speaker_present,0.8518337328959686,0.8631998957412543,0.9440063091482651,0.9535837864557587,0.8569780853517878,0.01637831603229527,0.931757016532103,1.469434832756632,1.455594002306805,867,10,top4mean,0.56
