,mean,std,min,max
macro_f1,0.8657091460538201,0.007297197642993778,0.8606825568830793,0.8740789877808396
micro_f1,0.943893704034266,0.007490365800653619,0.9353312302839116,0.949232585596222
samples_f1,0.9530839786895151,0.005509253518977401,0.946729279947273,0.9565167243367936
exact_match,0.859284890426759,0.019196444033556245,0.8373702422145328,0.8731257208765859
hamming_loss,0.016378316032295233,0.0022096013910804947,0.014878892733564,0.0189158016147635
avg_pred_labels,1.4494425221068818,0.01591249679859641,1.431372549019608,1.4613610149942329
