seed,iteration,label,before_aggregation,before_threshold,after_aggregation,after_threshold,before_objective_score,after_objective_score,objective_improvement,accepted,candidate_macro_f1,candidate_micro_f1,candidate_samples_f1,candidate_exact_match,candidate_hamming_loss,candidate_avg_pred_labels
0,1,Brene_Brown,top3mean,0.5,max,0.94,0.8576928721492517,0.8586559265223377,0.0009630543730859698,True,0.8771259694767901,0.9456,0.952183454026772,0.8617511520737328,0.01566820276497696,1.4377880184331797
0,1,Eckhart_Tolle,top2mean,0.5,top2mean,0.5,0.8586559265223377,0.8586559265223377,0.0,False,0.8771259694767901,0.9456,0.952183454026772,0.8617511520737328,0.01566820276497696,1.4377880184331797
0,1,Eric_Thomas,mean,0.53,top3mean,0.78,0.8586559265223377,0.860406118017613,0.0017501914952753328,True,0.8786126674423613,0.9464428457234213,0.9530283080974324,0.8663594470046083,0.01543778801843318,1.4400921658986174
0,1,Gary_Vee,top3mean,0.5,top3mean,0.5,0.860406118017613,0.860406118017613,0.0,False,0.8786126674423613,0.9464428457234213,0.9530283080974324,0.8663594470046083,0.01543778801843318,1.4400921658986174
0,1,Jay_Shetty,mean,0.8,p75,0.95,0.860406118017613,0.8629404440998227,0.0025343260822097147,True,0.8807858423150268,0.9481245011971269,0.9561005047180161,0.8709677419354839,0.014976958525345621,1.444700460829493
0,1,Nick_Vujicic,mean,0.43,top3mean,0.63,0.8629404440998227,0.8631119844073842,0.00017154030756150185,True,0.8809813457363367,0.9482071713147411,0.9576366030283082,0.8709677419354839,0.014976958525345621,1.4493087557603688
0,1,other_speaker_present,top3mean,0.76,top4mean,0.7,0.8631119844073842,0.8637015760567203,0.0005895916493360298,True,0.8809334530160303,0.9480415667466027,0.9579657669519421,0.8732718894009217,0.014976958525345621,1.4400921658986174
0,1,music_present,mean,0.49,mean,0.49,0.8637015760567203,0.8637015760567203,0.0,False,0.8809334530160303,0.9480415667466027,0.9579657669519421,0.8732718894009217,0.014976958525345621,1.4400921658986174
0,1,audience_reaction_present,max,0.68,max,0.62,0.8637015760567203,0.8659451012603507,0.00224352520363047,True,0.8854447312115189,0.9481245011971269,0.9583497915295149,0.8755760368663594,0.014976958525345621,1.444700460829493
0,1,silence_present,top2mean,0.38,p90,0.67,0.8659451012603507,0.8678153243317019,0.001870223071351207,True,0.8822701280369157,0.9524576954069299,0.963034891375905,0.8917050691244239,0.013594470046082949,1.4170506912442395
