variant,run_id,device,batch_size,lat_exit1_ms,lat_exit2_ms,lat_exit3_ms,exit1_flops,exit2_flops,exit3_flops,expected_mflops,full_mflops,compute_saving_pct,K,tap_blocks,n_mels,frames,lat_exit4_ms,exit4_flops,lat_exit5_ms,exit5_flops
v0.1,v0_1_001,cpu,16,0.328815573,2.9332171291618074,5.537629988975823,1861696,16607360,31353088,18.10464374153846,31.353088,42.25562808505988,,,,,,,,
v0.1,v0_1_002,cpu,16,0.40487009256349854,3.6116655890302947,6.818475003819913,1861696,16607360,31353088,18.10464374153846,31.353088,42.25562808505988,,,,,,,,
v0.1,v0_1_003,cpu,16,0.3277051983871396,2.9233119711739435,5.5189300095662475,1861696,16607360,31353088,18.10464374153846,31.353088,42.25562808505988,,,,,,,,
v0.1,v0_1_004,cpu,16,0.3732665369542022,3.329744359525798,6.286235013976693,1861696,16607360,31353088,18.10464374153846,31.353088,42.25562808505988,,,,,,,,
v0.2,v0_2_002,cpu,16,0.34731877077892254,3.098275905992733,5.849244981072843,1861696,16607360,31353088,18.739819126153844,31.353088,40.22974985381394,,,,,,,,
v0.2,v0_2_002,cpu,16,0.3401191417244589,3.0340512250706397,5.727995000779629,1861696,16607360,31353088,6.217344196923077,31.353088,80.16991437359192,,,,,,,,
v0.2,v0_2_003,cpu,16,0.3811733632226588,3.400277631498083,6.419395003467798,1861696,16607360,31353088,4.402490289230769,31.353088,85.95835188792003,,,,,,,,
v0.2,v0_2_004,cpu,16,0.3532447353435741,3.151138793850048,5.949044995941222,1861696,16607360,31353088,5.446030375384614,31.353088,82.63000322206024,,,,,,,,
v0.2,v0_2_005,cpu,16,0.3380545537743918,3.015633956441161,5.69322498,1861696,16607360,31353088,3.676548923076923,31.353088,88.27372626556937,,,,,,,,
v0.2,v0_2_006,cpu,16,0.3664359415503504,3.2688116632713546,6.171199982054532,1861696,16607360,31353088,2.224666190769231,31.353088,92.90447502086802,,,,,,,,
v0.2,v0_2_007,cpu,16,0.3471391521899487,3.0966736086414035,5.846219998784363,1861696,16607360,31353088,1.9978098215384614,31.353088,93.62802853250544,,,,,,,,
v0.2,v0_2_008,cpu,16,0.39763453827047807,3.547120435071895,6.696620001457632,1861696,16607360,31353088,4.266376664615384,31.353088,86.39248336682057,,,,,,,,
v0.2,v0_2_009,cpu,16,0.3402423511012338,3.0351503209893487,5.730069987475872,1861696,16607360,31353088,2.0431810953846155,31.353088,93.48331783017795,,,,,,,,
v0.2,v0_2_010,cpu,16,0.3165263239811558,2.8235902165722484,5.330664990469813,1861696,16607360,31353088,4.266376664615384,31.353088,86.39248336682057,,,,,,,,
v0.2,v0_2_011,cpu,16,0.3532670020650994,3.1513374253454103,5.949419992975891,1861696,16607360,31353088,3.2228355938461535,31.353088,89.72083517308995,,,,,,,,
v0.2,v0_2_012,cpu,16,0.3362500451686726,2.99953674,5.662834993563592,1861696,16607360,31353088,4.6747183261538465,31.353088,85.09008642,,,,,,,,
v0.2,v0_2_013,cpu,16,0.33242964064890523,2.9654566142522745,5.598495015874505,1861696,16607360,31353088,1.9524385476923074,31.353088,93.77273923483293,,,,,,,,
v0.2,v0_2_014,cpu,16,0.3308700673624755,2.9515443562820574,5.57223002,1861696,16607360,31353088,4.856204012307693,31.353088,84.51124172,,,,,,,,
v0.2,v0_2_015,cpu,16,0.33972219656007113,3.0305102542326257,5.721309990622103,1861696,16607360,31353088,4.402490683076922,31.353088,85.95835063,,,,,,,,
v0.2,v0_2_016,cpu,16,0.34735647738285164,3.0986122697953236,5.849880003370345,1861696,16607360,31353088,4.402490683076922,31.353088,85.95835063,,,,,,,,
v0.2,v0_2_017,cpu,16,0.35637249219469386,3.1790401182440475,6.001719995,1861696,16607360,31353088,4.765461070769231,31.353088,84.80066438505442,,,,,,,,
v0.2,v0_2_018,cpu,16,0.3844893489410127,3.4298580616969776,6.475239992141724,1861696,16607360,31353088,4.266376664615384,31.353088,86.39248336682057,,,,,,,,
v0.2,v0_2_019,cpu,16,0.37929878757896457,3.3835553779389294,6.387825007550418,1861696,16607360,31353088,4.4932324430769235,31.353088,85.66893173942891,,,,,,,,
v0.2,v0_2_020,cpu,16,0.3653395204956825,3.2590309798695265,6.152734998613596,1861696,16607360,31353088,3.812662547692308,31.353088,87.83959478666883,,,,,,,,
