run_id,variant,num_exits,tap_blocks_json,tau,temperatures_json,policy_test_acc,avg_exit_depth,exit_mix_json,expected_mflops,full_mflops,compute_saving_pct,ece_policy,n_mels,frames,num_classes,device,segment_sec,hop_sec,exit_e1,exit_e2,exit_e3,exit_e4,exit_e5
kexit_dev_002,kexit_dev,5,"[1, 2, 3, 4]",0.92,"[0.9593726396560669, 0.7710453271865845, 0.8340956568717957, 0.8926781415939331, 0.7498780488967896]",0.9846153846153848,2.4492307692307693,"{""e1"": 0.38153846153846155, ""e2"": 0.13230769230769232, ""e3"": 0.23076923076923078, ""e4"": 0.16615384615384615, ""e5"": 0.08923076923076922}",16.18767094153846,51.628288,68.64573363048865,0.0314514558131878,64,101,2,cpu,1,0.5,0.3815384615384615,0.1323076923076923,0.2307692307692307,0.1661538461538461,0.0892307692307692
kexit_dev_001,kexit_dev,3,"[1, 3]",0.95,"[1.0420550107955933, 0.7606421709060669, 1.10463285446167]",0.9753846153846154,1.9815384615384612,"{""e1"": 0.3630769230769231, ""e2"": 0.2923076923076923, ""e3"": 0.3446153846153846}",23.861081796923077,51.628288,53.78293040256714,0.0186215841770172,64,101,2,cpu,1,0.5,0.3630769230769231,0.2923076923076923,0.3446153846153846,,
v0_1_001,v0.1,3,,0.92,"[0.936334490776062, 1.1550763845443726, 0.8274151682853699]",0.9569230769230768,,"{""e1"": 0.39384615384615385, ""e2"": 0.11076923076923077, ""e3"": 0.49538461538461537}",18.10464374153846,31.353088,42.25562808505988,0.0326384438918186,64,101,2,cpu,1,0.5,0.3938461538461538,0.1107692307692307,0.4953846153846153,,
v0_1_002,v0.1,3,,0.92,"[0.936334490776062, 1.1550763845443726, 0.8274151682853699]",0.9569230769230768,,"{""e1"": 0.39384615384615385, ""e2"": 0.11076923076923077, ""e3"": 0.49538461538461537}",18.10464374153846,31.353088,42.25562808505988,0.0326384438918186,64,101,2,cpu,1,0.5,0.3938461538461538,0.1107692307692307,0.4953846153846153,,
v0_1_003,v0.1,3,,0.92,"[0.936334490776062, 1.1550763845443726, 0.8274151682853699]",0.9569230769230768,2.1015384615384614,"{""e1"": 0.39384615384615385, ""e2"": 0.11076923076923077, ""e3"": 0.49538461538461537}",18.10464374153846,31.353088,42.25562808505988,0.0326384438918186,64,101,2,cpu,1,0.5,0.3938461538461538,0.1107692307692307,0.4953846153846153,,
v0_1_004,v0.1,3,,0.92,"[0.936334490776062, 1.1550763845443726, 0.8274151682853699]",0.9569230769230768,2.1015384615384614,"{""e1"": 0.39384615384615385, ""e2"": 0.11076923076923077, ""e3"": 0.49538461538461537}",18.10464374153846,31.353088,42.25562808505988,0.0326384438918186,64,101,2,cpu,1,0.5,0.3938461538461538,0.1107692307692307,0.4953846153846153,,
v0_1_005,v0.1,3,,0.92,"[0.936334490776062, 1.1550763845443726, 0.8274151682853699]",0.9569230769230768,,"{""e1"": 0.39384615384615385, ""e2"": 0.11076923076923077, ""e3"": 0.49538461538461537}",18.10464374153846,31.353088,42.25562808505988,0.0326384438918186,64,101,2,cpu,1,0.5,0.3938461538461538,0.1107692307692307,0.4953846153846153,,
v0_1_006,v0.1,3,,0.92,"[0.936334490776062, 1.1550763845443726, 0.8274151682853699]",0.9569230769230768,,"{""e1"": 0.39384615384615385, ""e2"": 0.11076923076923077, ""e3"": 0.49538461538461537}",18.10464374153846,31.353088,42.25562808505988,0.0326384545289553,64,101,2,cpu,1,0.5,0.3938461538461538,0.1107692307692307,0.4953846153846153,,
v0_1_007,v0.1,3,,0.92,"[0.936334490776062, 1.1550763845443726, 0.8274151682853699]",0.9569230769230768,2.1015384615384614,"{""e1"": 0.39384615384615385, ""e2"": 0.11076923076923077, ""e3"": 0.49538461538461537}",18.10464374153846,31.353088,42.25562808505988,0.0326384545289553,64,101,2,cpu,1,0.5,0.3938461538461538,0.1107692307692307,0.4953846153846153,,
v0_2_002,v0.2,3,,,"[0.936334490776062, 1.1550763845443726, 0.8274151682853699]",0.9107692307692308,2.144615384615385,"{""e1"": 0.0, ""e2"": 0.8553846153846154, ""e3"": 0.14461538461538462}",18.739819126153844,31.353088,40.22974985381394,,64,101,2,cpu,1,0.5,0.0,0.8553846153846154,0.1446153846153846,,
