parent_clip_id,Brene_Brown,Eckhart_Tolle,Eric_Thomas,Gary_Vee,Jay_Shetty,Nick_Vujicic,other_speaker_present,music_present,audience_reaction_present,silence_present
Brene_Brown__Brene_Brown__0014,0.98848045,0.0011158547733333332,0.0023516649824999996,0.00276681578,0.0006628357,0.0022496392,0.7416113118984501,0.010765205468000002,0.52628507,0.07011997
Brene_Brown__Brene_Brown__0015,0.8537167,0.013372262146666668,0.0047607463390000005,0.0014849911279999999,0.00014615676,0.005436745,0.9482347119950018,0.0719685098,0.10114369833333332,0.015415828
Brene_Brown__Brene_Brown__0016,0.98194236,0.0017384095333333332,0.00488639005,0.0008005469268,4.5490353e-05,0.111084364,0.5637444409973306,0.0041048418,0.17725059333333334,0.03566036
Brene_Brown__Brene_Brown__0017,0.98666996,0.0033395449333333336,0.0064752848580000005,0.000199121531222,0.0005365898,0.06846242,0.5794100182937376,0.027307014612000004,0.10806404200000001,0.021819502
Brene_Brown__Brene_Brown__0021,0.9981937,0.00357373031,0.000462916158,7.996898858e-05,0.000388367,0.0018799531,0.8860317919664532,0.006558153299999999,0.05934192666666666,0.038415253
Brene_Brown__Brene_Brown__0028,0.88692045,0.0036371846999999993,0.00020467315575,0.0003086993606,8.670842e-05,0.025471509,0.7436502955165418,0.0047322476199999994,0.13764343466666665,0.036196884
Brene_Brown__Brene_Brown__0034,0.9552109,0.0037795807666666666,0.0029374208725,0.0030375232196,0.00032057933,0.045831624,0.8772315746267418,0.00995890804,0.12857654666666665,0.14490065
Brene_Brown__Brene_Brown__0040,0.998252,0.003802715736666667,0.0016244530885,0.00011523318314800001,6.67465e-05,0.00370611,0.667449539001052,0.005758737599999999,0.12177643066666666,0.04435407
Brene_Brown__Brene_Brown__0045,0.9514095,0.0007105782333333335,0.02065201101325,0.0037579754140000003,0.00138152,0.0006663434,0.9583706882145122,0.0223700978,0.17886846666666667,0.041181356
Brene_Brown__Brene_Brown__0050,0.9135499,0.0090670937,0.00227467178,0.017916614719999998,0.0003830005,0.0073032305,0.9324054163244481,0.008170125,0.1809459813333333,0.1440035
Brene_Brown__Brene_Brown__0053,0.9578274,0.003560969533333333,0.00811510093635,0.0009548840962400002,0.00035033553,0.013661243,0.982929588441914,0.00945503378,0.149514115,0.02541615
Brene_Brown__Brene_Brown__0054,0.9987049,0.0052889911,0.006422931895,0.00020696945599999998,5.7446055e-06,0.00012773117,0.5137162090582281,0.01461455292,0.012839904666666667,0.02244101
Brene_Brown__Brene_Brown__0055,0.9997851,0.008149116666666666,0.00244464444825,0.001360746240616,0.0002766032,0.00027507945,0.9166635917209508,0.0044349186676,0.13936977833333333,0.14505641
Brene_Brown__Brene_Brown__0058,0.94204134,0.007684282443333333,0.000403881723,0.00010185586407199999,0.0004024787,0.001954119,0.6995296454755778,0.011970032632,0.04784803066666667,0.020162985
Brene_Brown__Brene_Brown__0061,0.94286674,0.0016461173666666665,0.0375803497675,0.0011179203905200001,0.0001300095,0.0012589146,0.9610992744342168,0.02960709902,0.04857890633333333,0.025616676
Brene_Brown__Brene_Brown__0066,0.9540205,0.0020438072666666665,0.000431414595,0.000717883563,3.9989376e-05,0.00882946,0.5226127030586081,0.02034474372,0.026556706,0.022750244
Brene_Brown__Brene_Brown__0073,0.99898976,0.004550312026666666,0.002553538555625,0.0017561574336000002,4.4258817e-05,0.0012472449,0.27543835482479373,0.0070992775660000005,0.025595101999999998,0.053568568
Brene_Brown__Brene_Brown__0075,0.9856265,0.002949843106666667,0.00027365597075,0.000368047568498,0.000102248654,0.039086144,0.8954417760845245,0.00924101993,0.12775407466666666,0.023042582
